"id","name","plugin","type","entity_id","url","site_id","alias_id","main_site_content_id","parent_id","lft","rght","level","title","description","eyecatch","author_id","layout_template","status","publish_begin","publish_end","self_status","self_publish_begin","self_publish_end","exclude_search","created_date","modified_date","site_root","deleted_date","deleted","exclude_menu","blank_link","created","modified"
"1","","Core","ContentFolder","1","/","0","","","","1","24","0","株式会社データ・キュービック/DATA QVIC","","","1","default","1","","","1","","","0","","2017-01-05 22:31:48","1","","0","0","0","2017-01-05 21:35:16","2018-07-28 14:58:25"
"2","m","Core","ContentFolder","2","/m/","1","","1","1","2","3","1","baserCMS inc.｜ケータイ","","","1","default","0","","","0","","","0","","","1","","0","0","0","2017-01-05 21:35:16","2017-01-08 13:35:57"
"3","s","Core","ContentFolder","3","/s/","2","","1","1","4","5","1","baserCMS inc.｜スマホ","","","1","default","0","","","0","","","0","","","1","","0","0","0","2017-01-05 21:35:16","2017-01-08 13:35:57"
"4","index","Core","Page","1","/index","0","","","1","6","7","1","トップページ","私たちは、データ・情報通信技術を駆使し、活力みなぎる地域を取り戻し、地域住民に豊かな生活環境を提供します","","1","","1","","","1","","","0","2016-07-29 17:26:25","2017-01-05 22:29:22","0","","0","0","0","2017-01-05 21:35:16","2018-08-27 23:18:09"
"10","index","Core","Page","6","","0","","","","35","36","0","お昼のお献立","部井紗のお昼のお献立ページ","","1","","0","","","0","","","0","2016-07-29 17:30:00","2017-01-05 22:48:58","0","2018-07-28 14:59:34","1","0","0","2017-01-05 21:35:16","2018-07-28 14:59:34"
"11","contact","Mail","MailContent","1","/contact/","0","","","1","16","17","1","お問い合わせ","部井紗へのお問い合わせページ","","1","","0","","","0","","","0","2016-07-30 22:20:32","2016-09-21 18:49:12","0","","0","0","0","2017-01-05 21:35:16","2018-07-28 15:08:41"
"12","news","Blog","BlogContent","1","/news/","0","","","1","14","15","1","ニュースリリース","株式会社データ・キュービックからの最新の情報をお届けします。","","1","","1","","","1","","","0","2016-07-31 14:56:45","2016-09-21 18:43:54","0","","0","0","0","2017-01-05 21:35:16","2018-08-27 23:52:27"
"16","company","Core","Page","8","/company","0","","","1","12","13","1","会社概要","株式会社データ・キュービックの会社概要です。","","1","","1","","","1","","","0","2017-01-05 23:06:26","2017-01-05 23:07:18","0","","0","0","0","2017-01-05 23:06:26","2018-08-06 16:31:02"
"17","blog","Blog","BlogContent","2","","0","","","","35","36","0","テストブログ","","","1","","0","","","0","","","0","2017-10-02 16:42:56","2017-10-02 16:45:15","0","2018-02-24 15:58:17","1","0","0","2017-10-02 16:42:58","2018-02-24 15:58:17"
"18","menu","Core","ContentFolder","4","","0","","","","35","36","0","御品書き","部井紗の御品書きページ","","1","","0","","","0","","","0","2018-02-24 15:53:07","2018-02-24 15:53:36","0","2018-07-28 14:59:35","1","0","0","2018-02-24 15:53:07","2018-07-28 14:59:35"
